gene_id	gene_version	havana_gene	havana_gene_version	gene_name	gene_biotype	gene_source
ENSG00000232596	2	OTTHUMG00000000647	2	RP1-37J18.2	lincRNA	havana
ENSG00000196581	10	OTTHUMG00000000645	6	AJAP1	protein_coding	ensembl_havana
ENSG00000231510	1	OTTHUMG00000041729	1	RP11-542C10.1	lincRNA	havana
ENSG00000260972	1	OTTHUMG00000175733	1	RP1-58B11.1	lincRNA	havana
ENSG00000283356	1	OTTHUMG00000191793	1	RP3-491M17.1	unprocessed_pseudogene	havana
ENSG00000236948	2	OTTHUMG00000041453	2	RP11-154H17.1	lincRNA	havana
ENSG00000264341	1			MIR4417	miRNA	mirbase
ENSG00000264101	1			MIR4689	miRNA	mirbase
ENSG00000131697	17	OTTHUMG00000000701	6	NPHP4	protein_coding	ensembl_havana
ENSG00000069424	14	OTTHUMG00000000795	9	KCNAB2	protein_coding	ensembl_havana
ENSG00000116254	17	OTTHUMG00000000952	6	CHD5	protein_coding	ensembl_havana
ENSG00000116251	9	OTTHUMG00000000953	5	RPL22	protein_coding	ensembl_havana
ENSG00000226944	1	OTTHUMG00000041452	1	RP1-120G22.11	antisense	havana
ENSG00000158286	12	OTTHUMG00000001089	4	RNF207	protein_coding	ensembl_havana
ENSG00000116237	15	OTTHUMG00000001254	2	ICMT	protein_coding	ensembl_havana
ENSG00000225077	2	OTTHUMG00000001255	4	LINC00337	lincRNA	ensembl_havana
ENSG00000173673	7	OTTHUMG00000001271	3	HES3	protein_coding	ensembl_havana
ENSG00000158292	6	OTTHUMG00000001272	2	GPR153	protein_coding	ensembl_havana
ENSG00000097021	19	OTTHUMG00000001295	8	ACOT7	protein_coding	ensembl_havana
ENSG00000271746	1	OTTHUMG00000185645	1	RP1-202O8.3	antisense	havana
ENSG00000069812	11	OTTHUMG00000000752	2	HES2	protein_coding	ensembl_havana
ENSG00000187017	15	OTTHUMG00000000753	8	ESPN	protein_coding	ensembl_havana
ENSG00000265392	1			MIR4252	miRNA	mirbase
ENSG00000231868	1	OTTHUMG00000000769	1	RP1-202O8.2	antisense	havana
ENSG00000215788	9	OTTHUMG00000000831	7	TNFRSF25	protein_coding	ensembl_havana
ENSG00000171680	20	OTTHUMG00000000905	3	PLEKHG5	protein_coding	ensembl_havana
ENSG00000162408	10	OTTHUMG00000000904	1	NOL9	protein_coding	ensembl_havana
ENSG00000253022	1			RNU6-731P	snRNA	ensembl
ENSG00000229519	2	OTTHUMG00000001442	3	RP11-58A11.2	processed_pseudogene	havana
ENSG00000173662	20	OTTHUMG00000001441	3	TAS1R1	protein_coding	ensembl_havana
ENSG00000204859	12	OTTHUMG00000001438	4	ZBTB48	protein_coding	ensembl_havana
ENSG00000162413	16	OTTHUMG00000001437	3	KLHL21	protein_coding	ensembl_havana
ENSG00000116273	5	OTTHUMG00000001439	1	PHF13	protein_coding	ensembl_havana
ENSG00000041988	15	OTTHUMG00000001440	3	THAP3	protein_coding	ensembl_havana
ENSG00000007923	15	OTTHUMG00000001443	4	DNAJC11	protein_coding	ensembl_havana
ENSG00000228750	6	OTTHUMG00000001785	2	RP11-242F24.1	lincRNA	havana
ENSG00000237436	1	OTTHUMG00000001213	1	RP11-312B8.1	antisense	havana
ENSG00000171735	18	OTTHUMG00000001212	6	CAMTA1	protein_coding	ensembl_havana
ENSG00000227950	1	OTTHUMG00000001214	1	RP11-312B8.2	processed_pseudogene	havana
ENSG00000237365	1	OTTHUMG00000001215	2	RP11-334N17.1	antisense	havana
ENSG00000207056	1			RNU1-8P	snRNA	ensembl
ENSG00000237402	1	OTTHUMG00000001217	1	CAMTA1-IT1	sense_intronic	havana
ENSG00000237728	2	OTTHUMG00000001219	2	RP3-453P22.2	antisense	havana
ENSG00000225126	1	OTTHUMG00000001220	1	RP4-549F15.1	antisense	havana
ENSG00000270171	1	OTTHUMG00000183917	1	RP11-338N10.1	lincRNA	havana
ENSG00000270035	1	OTTHUMG00000183918	1	RP11-338N10.2	lincRNA	havana
ENSG00000269978	1	OTTHUMG00000183919	1	RP11-338N10.3	lincRNA	havana
ENSG00000049245	12	OTTHUMG00000001225	3	VAMP3	protein_coding	ensembl_havana
ENSG00000269925	1	OTTHUMG00000183953	1	RP3-467L1.6	sense_intronic	havana
ENSG00000049246	14	OTTHUMG00000001216	3	PER3	protein_coding	ensembl_havana
ENSG00000236266	1	OTTHUMG00000001211	1	RP3-467L1.4	antisense	havana
ENSG00000049247	13	OTTHUMG00000001218	3	UTS2	protein_coding	ensembl_havana
ENSG00000049249	8	OTTHUMG00000001223	3	TNFRSF9	protein_coding	ensembl_havana
ENSG00000270330	1	OTTHUMG00000184257	1	RP5-892F13.2	processed_pseudogene	havana
ENSG00000116288	12	OTTHUMG00000001210	3	PARK7	protein_coding	ensembl_havana
ENSG00000200344	1			Y_RNA	misc_RNA	ensembl
ENSG00000116285	12	OTTHUMG00000001221	3	ERRFI1	protein_coding	ensembl_havana
ENSG00000238290	1	OTTHUMG00000001766	1	RP11-431K24.1	lincRNA	havana
ENSG00000232848	1	OTTHUMG00000001224	1	CTA-215D11.4	processed_pseudogene	havana
ENSG00000229305	1	OTTHUMG00000001767	1	RP11-431K24.2	processed_pseudogene	havana
ENSG00000227634	2	OTTHUMG00000001769	2	RP11-431K24.3	lincRNA	havana
ENSG00000200975	1			RNU1-7P	snRNA	ensembl
ENSG00000233645	1	OTTHUMG00000001770	1	RP11-431K24.4	lincRNA	havana
ENSG00000251977	1			RNU6-991P	snRNA	ensembl
ENSG00000162426	14	OTTHUMG00000000503	6	SLC45A1	protein_coding	ensembl_havana
ENSG00000252254	1			Y_RNA	misc_RNA	ensembl
ENSG00000142599	17	OTTHUMG00000001765	7	RERE	protein_coding	ensembl_havana
ENSG00000232912	5	OTTHUMG00000001772	1	RP5-1115A15.1	antisense	havana
ENSG00000221083	1			SNORA77	snoRNA	ensembl
ENSG00000270282	1	OTTHUMG00000184266	1	RP5-1115A15.2	processed_pseudogene	havana
ENSG00000234619	1	OTTHUMG00000001774	1	RPL7P11	processed_pseudogene	havana
ENSG00000224315	2	OTTHUMG00000001775	2	RPL7P7	processed_pseudogene	havana
ENSG00000222511	2			Y_RNA	misc_RNA	ensembl
ENSG00000226545	1	OTTHUMG00000001776	2	RP4-633I8.3	unprocessed_pseudogene	havana
ENSG00000228423	2	OTTHUMG00000001777	2	RP4-633I8.4	lincRNA	havana
ENSG00000229716	2	OTTHUMG00000001780	3	RPL23AP19	processed_pseudogene	havana
ENSG00000074800	13	OTTHUMG00000001773	5	ENO1	protein_coding	ensembl_havana
ENSG00000274258	1			MIR6728	miRNA	mirbase
ENSG00000236269	1	OTTHUMG00000001778	1	ENO1-IT1	sense_intronic	havana
ENSG00000230679	1	OTTHUMG00000001779	1	ENO1-AS1	antisense	havana
ENSG00000201725	1			RNU6-304P	snRNA	ensembl
ENSG00000238249	2	OTTHUMG00000001781	1	HMGN2P17	processed_pseudogene	havana
ENSG00000232208	2	OTTHUMG00000001759	2	RP3-477M7.5	processed_pseudogene	havana
ENSG00000232663	2	OTTHUMG00000001761	2	RP3-477M7.6	processed_pseudogene	havana
ENSG00000131686	14	OTTHUMG00000001763	7	CA6	protein_coding	ensembl_havana
ENSG00000265141	2			RN7SL451P	misc_RNA	ensembl
ENSG00000197241	3	OTTHUMG00000057499	4	SLC2A7	protein_coding	ensembl_havana
ENSG00000142583	17	OTTHUMG00000001771	3	SLC2A5	protein_coding	ensembl_havana
ENSG00000252404	1			SCARNA16	scaRNA	ensembl
ENSG00000180758	11	OTTHUMG00000001758	5	GPR157	protein_coding	ensembl_havana
ENSG00000228526	5	OTTHUMG00000001762	5	MIR34A	lincRNA	ensembl_havana
ENSG00000234546	3	OTTHUMG00000001764	3	RP3-510D11.2	lincRNA	havana
ENSG00000281937	1	OTTHUMG00000191469	1	RP3-510D11.4	lincRNA	havana
ENSG00000049239	12	OTTHUMG00000001768	2	H6PD	protein_coding	ensembl_havana
ENSG00000171621	13	OTTHUMG00000001279	4	SPSB1	protein_coding	ensembl_havana
ENSG00000252956	1			RNA5SP40	rRNA	ensembl
ENSG00000235263	1	OTTHUMG00000001278	1	RP13-392I16.1	lincRNA	havana
ENSG00000171612	6	OTTHUMG00000001322	2	SLC25A33	protein_coding	ensembl_havana
ENSG00000231181	1	OTTHUMG00000001323	1	RP13-15M17.1	processed_pseudogene	havana
ENSG00000188807	12	OTTHUMG00000057457	2	TMEM201	protein_coding	ensembl_havana
ENSG00000171608	15	OTTHUMG00000001450	2	PIK3CD	protein_coding	ensembl_havana
ENSG00000179840	5	OTTHUMG00000001452	1	PIK3CD-AS1	antisense	havana
ENSG00000233268	3	OTTHUMG00000001453	3	RP11-558F24.2	processed_pseudogene	havana
ENSG00000231789	2	OTTHUMG00000001449	2	PIK3CD-AS2	antisense	havana
ENSG00000171603	16	OTTHUMG00000001451	1	CLSTN1	protein_coding	ensembl_havana
ENSG00000271264	1	OTTHUMG00000184268	1	MZT1P1	processed_pseudogene	havana
ENSG00000280113	1			AL357140.1	protein_coding	ensembl
ENSG00000178585	14	OTTHUMG00000001796	1	CTNNBIP1	protein_coding	ensembl_havana
ENSG00000223989	1	OTTHUMG00000037769	1	RP11-84A14.5	antisense	havana
ENSG00000162441	11	OTTHUMG00000001804	3	LZIC	protein_coding	ensembl_havana
ENSG00000228150	1	OTTHUMG00000001805	1	RP11-84A14.4	sense_intronic	havana
ENSG00000173614	13	OTTHUMG00000001799	6	NMNAT1	protein_coding	ensembl_havana
ENSG00000202415	1			RN7SKP269	misc_RNA	ensembl
ENSG00000283611	1	OTTHUMG00000191753	1	RP11-84A14.6	unitary_pseudogene	havana
ENSG00000265521	1			MIR5697	miRNA	mirbase
ENSG00000241326	1	OTTHUMG00000001801	1	RP11-807G9.2	sense_intronic	havana
ENSG00000162444	11	OTTHUMG00000001798	2	RBP7	protein_coding	ensembl_havana
